ID	GSM1289184_Control	GSM1289185_Control	GSM1289186_Control	GSM1289187_Control	GSM1289188_Control	GSM1289189_Control	GSM1289190_Control	GSM1289191_Control	GSM1289192_Control	GSM1289193_Control	GSM1289194_Control	GSM1289195_Control	GSM1426164_Control	GSM1426165_Control	GSM1426166_Control	GSM1426167_Control	GSM1426168_Control	GSM1426169_Control	GSM1426170_Control	GSM1426171_Control	GSM1426172_Control	GSM1426173_Control	GSM1426174_Control	GSM1426175_Control	GSM1426176_Control	GSM1426177_Control	GSM1426178_Control	GSM1426179_Control	GSM1426180_Control	GSM1426181_Control	GSM1426182_Control	GSM1426183_Control	GSM1426184_Control	GSM1426185_Control	GSM1426186_Control	GSM1289168_Treat	GSM1289169_Treat	GSM1289170_Treat	GSM1289171_Treat	GSM1289172_Treat	GSM1289173_Treat	GSM1289174_Treat	GSM1289175_Treat	GSM1289176_Treat	GSM1289177_Treat	GSM1289178_Treat	GSM1289179_Treat	GSM1289180_Treat	GSM1289181_Treat	GSM1289182_Treat	GSM1289183_Treat	GSM1426090_Treat	GSM1426091_Treat	GSM1426092_Treat	GSM1426093_Treat	GSM1426094_Treat	GSM1426095_Treat	GSM1426096_Treat	GSM1426097_Treat	GSM1426098_Treat	GSM1426099_Treat	GSM1426100_Treat	GSM1426101_Treat	GSM1426102_Treat	GSM1426103_Treat	GSM1426104_Treat	GSM1426105_Treat	GSM1426106_Treat	GSM1426107_Treat	GSM1426108_Treat	GSM1426109_Treat	GSM1426110_Treat	GSM1426111_Treat	GSM1426112_Treat	GSM1426113_Treat	GSM1426114_Treat	GSM1426115_Treat	GSM1426116_Treat	GSM1426117_Treat	GSM1426118_Treat	GSM1426119_Treat	GSM1426120_Treat	GSM1426121_Treat	GSM1426122_Treat	GSM1426123_Treat	GSM1426124_Treat	GSM1426125_Treat	GSM1426126_Treat	GSM1426127_Treat	GSM1426128_Treat	GSM1426129_Treat	GSM1426130_Treat	GSM1426131_Treat	GSM1426132_Treat	GSM1426133_Treat	GSM1426134_Treat	GSM1426135_Treat	GSM1426136_Treat	GSM1426137_Treat	GSM1426138_Treat	GSM1426139_Treat	GSM1426140_Treat	GSM1426141_Treat	GSM1426142_Treat	GSM1426143_Treat	GSM1426144_Treat	GSM1426145_Treat	GSM1426146_Treat	GSM1426147_Treat	GSM1426148_Treat	GSM1426149_Treat	GSM1426150_Treat	GSM1426151_Treat	GSM1426152_Treat	GSM1426153_Treat	GSM1426154_Treat	GSM1426155_Treat	GSM1426156_Treat	GSM1426157_Treat	GSM1426158_Treat	GSM1426159_Treat	GSM1426160_Treat	GSM1426161_Treat	GSM1426162_Treat	GSM1426163_Treat
NFE2L2	10.810372	10.746519	10.970904	10.778097	10.813227	10.83222	10.973207	10.361594	10.530226	10.699738	10.850967	10.993261	11.073819	10.610836	10.844035	10.775473	10.949529	11.01077	10.681568	10.79639	10.843014	10.608508	10.759978	10.243205	10.597469	10.902268	10.953729	9.918278	10.670562	10.637869	10.805691	10.698017	10.979013	10.768143	10.999125	10.844035	10.881102	10.891485	11.028104	10.552665	10.671559	10.755507	10.763446	10.651714	10.649243	10.472522	10.884199	10.79822	10.804678	10.734385	10.587353	10.789256	10.586542	10.712569	10.626558	11.056831	10.761593	10.66968	10.803698	10.963844	11.293455	10.858702	10.878152	10.529473	10.804678	10.718612	11.050954	10.822345	10.602935	10.864655	10.621812	10.801834	10.313331	10.5997	10.422964	10.566723	10.907979	10.517211	10.596723	10.572055	10.67749	10.629014	10.587353	10.458182	10.483661	10.951728	10.461542	11.130033	10.725441	10.294483	11.019424	10.246126	10.957192	10.729144	10.93836	10.55106	10.977868	10.218439	10.659251	10.802817	10.913315	10.703988	10.753531	11.200621	10.651714	10.481632	10.989838	10.595978	10.960584	10.88838	10.619444	10.704815	10.72381	10.638695	10.782646	10.745517	10.56447	10.940428	10.756433	11.111588	10.647538	10.893601	10.565131	10.858702	10.760746
NLRP3	7.42103	6.592704	6.76867	6.333558	7.134373	6.73353	7.35138	6.440749	7.21153	6.862834	6.602933	6.385988	6.312035	5.803682	6.216372	6.22126	5.66512	6.012666	6.012666	5.915368	6.209623	6.038592	6.173677	5.984802	6.294235	6.081897	6.241036	5.912622	6.033487	6.170795	5.737667	6.161883	6.032829	6.230578	6.149514	7.096838	6.784488	6.686947	6.631439	6.382654	6.672285	6.422666	6.509795	6.639673	6.916804	6.708128	7.03866	6.39405	6.403054	6.684779	6.076026	6.490946	6.067247	6.03828	6.159302	8.419905	7.713568	8.991574	7.820386	7.219626	7.54641	7.589469	7.408571	6.321883	7.245446	8.051269	8.799827	6.416182	7.012837	7.417637	6.435287	6.622086	6.370407	6.140479	6.382944	6.987978	7.242594	7.386987	6.121375	6.547281	6.613764	6.061952	6.340295	6.096069	7.083335	6.781905	6.323776	9.584584	5.697995	7.13342	6.569884	5.998999	6.388448	6.616615	7.030104	7.75534	6.23148	6.116117	6.11869	6.797845	7.224221	6.46386	6.008743	7.882829	5.935762	6.263377	6.592704	6.936413	6.27572	6.061016	6.412011	6.410773	6.254556	6.155797	6.678363	6.641292	6.3416	7.509518	5.94063	9.94376	6.505859	7.640264	6.424397	6.963259	6.385691
ATP7B	9.617309	8.923043	9.677411	10.187275	9.445998	9.530073	8.92802	9.255161	9.555563	9.20398	9.387564	8.764984	9.228602	9.327873	10.134307	9.502925	9.534657	9.243231	9.076662	9.404755	9.37163	9.153655	9.145348	9.35855	9.267273	8.941197	8.766754	9.271146	9.272042	9.378958	8.950849	8.859869	9.393219	9.440677	8.963429	9.215777	8.596898	9.126451	9.058053	8.900888	8.535915	8.145413	8.625329	8.394234	8.337665	8.560039	8.059702	7.843594	8.474649	8.816154	8.681458	9.159051	9.0441	9.372312	8.743513	7.84471	8.26527	9.391039	8.517037	8.559302	9.186606	7.949207	8.359001	8.884127	8.645347	9.748747	8.358465	8.970053	8.608251	10.664943	8.646902	9.113787	8.902668	9.110778	8.531986	8.740445	7.934445	8.294068	9.008414	8.93641	8.40232	8.96473	8.325839	8.837943	9.19321	8.458349	9.598775	8.690968	8.943519	9.222743	8.159114	9.21202	8.027922	8.461134	8.945043	8.835791	8.61354	9.000829	9.109697	9.796276	8.908332	8.871251	9.097077	8.337948	9.618714	9.610337	8.634823	8.3546	8.962354	9.075286	9.089297	8.493648	9.261535	9.131002	8.809397	9.345411	9.866199	9.231852	9.343922	8.232519	9.169808	8.448911	8.732513	9.246214	9.394753
ATP7A	5.976945	8.197729	7.60219	8.399952	9.321616	8.930829	9.244985	8.76906	8.973692	8.730506	8.40232	8.088879	8.460641	8.173946	8.483134	8.297402	8.363583	8.592142	8.191541	8.323982	8.299529	8.343017	8.57084	8.524646	8.994586	8.513784	8.476233	8.36919	8.842135	8.388115	8.839039	8.442095	8.767781	8.687153	8.364093	8.053351	8.103999	8.476233	8.195829	7.149558	8.26765	8.356301	8.458065	8.749838	9.245301	8.578492	8.401518	7.801845	8.450239	9.260623	8.696003	8.239894	8.127405	8.248214	8.421982	8.651047	8.498599	8.651047	8.508539	8.247136	8.706262	8.48392	8.233325	8.419109	8.466226	8.359258	8.643254	8.693325	8.517534	8.457202	8.381077	8.372866	8.339603	8.361347	8.496756	8.6544	8.392134	8.469657	8.568194	8.675127	8.401793	8.614072	8.608009	8.275088	8.301436	8.536696	8.314729	8.396379	8.654671	8.450487	8.522247	8.253818	8.280748	8.226364	8.566438	8.403851	8.616441	8.206963	8.649515	8.656249	8.33194	8.444696	8.316705	8.666547	8.216291	8.249334	8.159968	8.431762	8.412814	8.041482	8.141267	8.345742	8.295961	8.526144	8.522247	8.140173	8.116752	8.483134	8.03053	8.279661	8.123183	8.578492	8.401518	8.529661	8.460641
SLC31A1	9.555228	9.411697	9.826337	9.719343	9.115403	9.382871	10.060962	9.654807	9.115677	9.16954	9.654128	9.439048	9.290732	9.374415	9.977787	9.513791	9.368307	9.478443	9.334027	9.253625	9.137283	9.444652	9.162181	9.737887	9.955673	9.862136	9.974007	8.984605	9.916709	9.505564	9.908577	9.903	9.396006	9.835482	9.357056	10.093127	9.694774	9.481943	9.577415	10.018824	9.705839	9.260623	9.639609	9.35884	9.946302	9.812913	8.717862	9.864172	9.671915	9.140643	9.300325	9.584215	9.512463	9.416222	9.585601	8.745724	9.479124	9.997284	9.450252	9.713787	10.037153	9.660227	9.510546	9.420626	9.509875	9.242332	9.338286	9.429292	9.483584	9.86744	9.391367	9.667076	9.461414	9.944635	9.981667	9.663362	10.312774	10.142253	10.134826	9.831282	10.19196	9.973146	10.197399	9.885391	9.869069	10.104568	9.856412	8.91369	9.340732	9.607242	9.437499	9.614519	9.306126	9.291002	9.764761	9.522068	10.043014	9.217232	9.769316	9.389765	9.572912	9.032298	9.627777	9.479124	9.557587	9.141451	10.253238	9.302982	10.005418	9.998951	9.87794	9.413052	9.633092	9.290732	9.994021	9.581405	9.33033	9.778529	9.665241	8.610043	8.909184	9.320105	9.588741	9.524998	9.818301
FDX1	7.334912	8.322567	6.237612	7.738082	7.658266	7.754167	8.601026	8.106777	8.901624	7.677632	7.865564	7.601599	7.844418	7.800982	8.104561	7.677632	7.867339	7.879263	7.774265	8.076595	7.890036	8.406945	7.990331	7.741297	8.271154	7.95066	7.804811	7.538164	7.952693	8.27668	7.722228	8.002089	8.017723	7.899872	7.733279	8.139013	7.618145	6.711107	7.531276	7.603995	7.666339	7.535201	7.557848	7.602485	7.422884	7.898663	8.243202	6.057244	7.493191	7.319209	8.388115	7.550116	7.661283	7.788646	7.445221	7.430412	7.467015	7.691277	7.408219	7.391599	7.775743	7.967056	7.700382	7.448853	7.4844	7.497567	7.332988	7.594972	7.495724	7.662259	7.533432	7.968277	7.692407	7.73901	7.653987	7.756157	7.516714	7.368554	7.888309	7.7001	7.537241	7.409557	7.501135	7.7454	7.593754	7.619038	7.381856	7.459359	7.804233	7.707918	7.384634	7.947689	7.687252	7.691563	7.608097	7.521181	7.407919	7.702069	7.560355	7.494459	7.561543	7.704688	7.773622	7.413043	7.873633	7.705288	7.517715	7.629625	7.661283	8.003279	7.665489	7.410836	7.529766	7.434509	7.558167	7.526933	7.938694	7.713862	8.056207	7.880914	7.679085	7.201962	7.591931	7.521826	7.774543
LIAS	7.954101	7.993472	8.057662	7.370949	7.824435	8.17486	8.011003	8.294324	8.522247	8.20363	8.194746	8.711345	8.039797	8.340134	8.566961	8.416181	8.031104	8.468352	8.230556	8.432907	8.560039	8.503719	8.780263	8.649515	8.72915	8.160825	7.973712	8.564116	8.776922	8.816435	8.844195	8.236327	8.47047	8.378296	8.501616	7.973712	7.778519	8.224114	7.79315	7.783956	7.843865	8.126541	8.179839	8.186371	8.249909	8.211157	8.078043	8.449169	8.226668	8.177818	7.959699	7.974285	8.120165	8.131642	8.07496	7.203884	7.598241	7.782792	7.97342	7.253988	8.522	8.20363	7.93502	8.233833	8.112143	8.101685	8.107621	8.351575	7.929098	8.419109	7.759283	8.701278	8.159682	8.219466	7.94272	7.587646	8.193429	7.920074	8.242648	8.213919	7.768642	8.303624	7.964076	7.907282	7.626735	8.619114	7.864465	7.669931	7.818368	7.964717	7.775433	7.722777	7.862989	7.90526	8.364886	7.871623	8.55616	7.586714	7.785418	8.254339	7.92937	8.035738	7.683576	8.305727	8.256313	8.051874	8.496233	7.92118	8.244878	8.315019	8.088078	7.875097	8.413079	8.219162	8.068815	8.334448	8.214195	8.751573	8.547697	6.605235	7.727006	7.90641	7.728204	8.096715	8.335242
LIPT1	7.171739	7.622324	6.545632	6.772061	7.079338	7.02747	7.034481	7.213791	7.510692	6.716205	7.232878	7.722777	7.148301	6.873221	6.961599	7.013488	6.922734	7.301605	6.707126	6.958392	7.260918	7.603408	7.445891	7.196629	7.570705	7.255274	7.464595	7.23882	7.341903	7.260006	7.500846	7.413368	7.214457	7.661612	7.420121	7.479416	6.741283	7.416087	7.478195	6.872228	6.73353	7.236605	7.222908	6.523641	6.602081	6.878428	7.405718	7.863855	7.321455	7.544201	7.235093	6.985764	6.905629	6.861881	7.032022	6.757475	6.888332	7.00767	7.188575	6.899421	7.390096	7.175917	6.90077	7.120696	7.068745	7.128505	7.265122	7.066234	7.057747	7.53315	7.293808	7.342231	7.237554	7.131718	6.891214	7.042859	7.435419	7.083993	7.361144	7.206491	7.560355	7.337812	7.094927	7.396505	7.027733	7.438452	6.873552	6.912978	6.997614	7.042186	7.441544	6.347528	7.121058	7.259712	7.177255	7.138602	7.339798	6.661628	7.049519	7.059756	7.06779	6.906552	6.796785	7.053159	7.146351	7.040846	7.294743	7.078974	7.079882	6.815169	7.132415	6.840193	7.182733	7.315052	6.99225	7.253988	6.959398	7.222295	7.366341	6.581786	7.095887	7.21057	7.034804	7.234438	7.122697
DLD	9.367736	8.661086	9.500301	9.126737	9.106392	9.435125	9.106112	8.643254	9.820247	9.556592	9.204257	8.665561	9.437837	9.265839	9.639219	9.316154	9.380176	9.937033	9.395667	9.74543	9.602369	9.772611	9.67505	9.398469	9.48917	9.6221	9.567857	8.628176	9.711521	9.421906	9.688523	9.504276	10.015782	9.407287	9.678393	9.044619	8.796977	9.586301	8.755225	8.783108	9.279637	9.093094	9.378653	9.361681	9.567241	9.593959	9.448978	9.384758	9.377225	9.652412	9.280534	9.355146	9.281167	9.528526	9.191613	8.416715	8.790356	8.944549	9.026294	8.795663	9.466046	8.889931	9.064586	9.314701	9.071246	9.298778	9.048996	9.563635	9.046557	9.361361	9.166318	9.707514	9.300325	9.567241	9.225103	8.987203	9.127602	9.195978	9.440381	9.383818	8.99051	9.447644	9.245301	9.12421	8.883866	9.420935	9.239689	8.134093	9.502925	9.214055	9.351573	8.98109	9.03256	8.69415	9.333711	9.203081	9.852602	9.09735	8.938026	9.396006	9.064586	9.308952	9.265553	9.214909	9.578027	9.081693	9.368597	9.193519	9.397177	9.743274	9.234484	9.324993	9.579029	9.170346	9.264081	9.353645	9.306126	9.542633	9.611037	8.099242	8.952485	9.132955	9.181866	9.1999	9.456374
DLAT	9.188614	9.247627	9.905347	9.475804	9.446993	9.644175	9.29909	8.876447	9.335748	9.452822	9.514175	9.655575	9.485152	9.278375	9.578409	9.350885	8.887539	9.8846	9.424479	9.720759	9.652752	9.820986	9.676691	9.833893	9.928053	9.31382	9.903362	9.590072	9.921224	9.887808	9.778123	9.833538	10.143805	9.353063	9.26033	8.608489	9.36422	9.465381	8.772689	9.079738	9.403852	9.397177	9.322887	9.772611	9.706488	9.471632	9.377498	9.767359	9.453141	9.280852	8.686627	9.306739	9.374761	9.542355	9.216647	8.610327	8.855717	9.267578	9.18078	8.834419	9.659873	9.031532	9.190475	9.408518	9.409688	9.380176	9.182733	9.683179	9.36584	9.36199	9.3543	9.941239	9.461113	10.14785	9.769663	9.474244	9.62458	9.679447	9.594988	9.538765	9.463037	9.553922	9.625313	9.515149	9.14479	9.737887	9.378061	8.647937	9.339766	9.199329	9.340732	9.215479	9.056045	8.81409	9.619098	9.529135	9.715689	9.163267	9.013647	9.376588	9.303887	9.396609	9.453141	9.098775	9.303592	9.230411	9.412062	9.355146	9.494629	9.340732	9.273799	9.325845	9.517482	9.130126	9.306739	9.316154	9.275387	9.48423	9.436785	8.282382	9.171867	9.222134	9.099684	9.248263	9.305804
